Data
3980
4039
3878
3809
3829
3798
3730
3705
3701
3782
3827
3759
3747
3666
3617
3638
3570
3598
3481
3541
3616
3489
3531
3703
3688
3553
3586
3630
3629
3604
3658
3590
3524
3923
3934
3781
3749
3778
3783
3696
3745
3652
3649
3584
3458
3404
3344
3410
3316
3399
3415
3460
3542
3364
3633
3550
3648
3584
3461
3487
3421
3457
3317
3254
3279
3136
3127
3127
3096
3128
3155
3169
3114
3112
3084
3027
2989
2993
3096
2980
3062
3011
2941
2774
2697
2670
2488
2472
2322
2343
2525
2554
2729
2605
2678
2713
2503
2382
2554
2499
2550
2472
2448
2477
2477
2431
2532
2425
2567
2684
2626
2643
2621
2550
2446
2519
2616
2463
2484
2355
2356
2302
2272
2324
2269
2299
2284
2279
2326
2351
2335
2360
2269
2275
2226
2208
2191
2149
2126
2152
2187
2141
2089
2107
2031
1984
1983
1981
2016
1951
1951
